,id_news,country,media_outlet,url,title,text,date,search,Lago_Ranco,Los_Lagos,Futrono,Río_Bueno,La_Unión,Panguipulli,Paillaco,Corral,Máfil,Lanco,Mariquina,Valdivia,prediction,score,keywords_found
7,49542851.0,chile,lavozdepaillaco,https://www.lavozdepaillaco.cl/accidente-de-transito-en-ruta-t-206-entre-paillaco-y-valdivia-dejo-un-muerto-y-una-veintena-de-eridos/,Accidente de tránsito en ruta T 206 entre Paillaco y Valdivia dejo un Muerto y una veintena de heridos,"Un accidente de tránsito ocurrido en Valdivia dejó un saldo de una persona muerta y al menos una veintena de lesionados. Según información preliminar entregada por Bomberos a Radio Bío Bío, se trataría de una colisión entre un microbus y un vehículo menor en el puente Santo Domingo. El vehículo menor se habría volcado al colisionar. A raíz del hecho, un número importante de ambulancias llegaron hasta el Hospital Base de Valdivia con los lesionadas. La zona se mantiene con alta congestión producto de la emergencia. Desde Bomberos aclararon confirmaron la víctima fatal y la cifra de heridos, quienes ya estarían siendo atendidos y fuera de riesgo vital. En ese sentido, agregaron que la persona que perdió la vida sería el conductor del vehículo menor. Además, ésta se encontraba con un pasajero, el que se mantiene en estado grave. Hasta el lugar llegó personal de la SIAT de Carabineros para realizar las diligencias correspondientes. El vehículo menor quedó completamente destruido. Fuente biobiochile.cl",2018-01-29,accidente,0,0,0,0,0,0,1,0,0,0,0,1,NEG,0.9603817462921144,"['accidente', 'colisión', 'colisionar', 'conductor', 'vehículo', 'heridos', 'lesionados', 'fatal', 'accidente de tránsito', 'accidente de tránsito']"
242,47426194.0,chile,rioenlinea,https://www.rioenlinea.cl/un-fallecido-y-cinco-lesionados-dejo-un-accidente-en-acceso-a-mariquina/,Un fallecido y cinco lesionados dejó un accidente en acceso a Mariquina,"Una persona fallecida y cinco lesionados dejó un accidente de tránsito en el acceso a San José de la Mariquina. Pasadas las 06:00 horas de la mañana de este domingo ocurrió el fatal accidente en el acceso sur a San José de la Mariquina, donde dos vehículos menores colisionaron frontalmente, quedando uno de los automóviles prácticamente destruido en su parte delantera. De acuerdo a lo informado preliminarmente por Carabineros, tras el accidente resultaron seis personas lesionadas. Sin embargo, el conductor de uno de los vehículos quedó en riesgo vital, falleciendo en medio de las maniobras de reanimación. La Fiscalía dispuso la concurrencia de personal de la Sección de Investigación de Accidentes de Tránsito (SIAT) de Carabineros para esclarecer las circunstancias de la fatal colisión.",2019-07-28,accidente,0,0,0,0,0,0,0,0,0,0,1,0,NEG,0.9960705041885376,"['accidente', 'colisión', 'colisionar', 'conductor', 'automóvil', 'vehículo', 'lesionados', 'fatal', 'accidente de tránsito', 'accidente de tránsito']"
1832,47684814.0,chile,diariolaguino,https://www.diariolaguino.cl/noticia/actualidad/2022/05/en-riesgo-vital-se-encuentra-la-madre-de-la-lactante-fallecida-en-accidente,En riesgo vital se encuentra la madre de la lactante fallecida en accidente  - Diario Laguino,"En momentos en que aún se trabaja en el sitio del accidente de tránsito ocurrido en la salida norte de Valdivia, se confirmó que los tres fallecidos corresponden a integrantes de un grupo familiar. Las víctimas fatales son el conductor y su madre, al igual que una lactante hija del conductor. Asimismo, la cuarta ocupante del automóvil, una mujer adulta y madre de la lactante, se encuentra en riesgo vital en el hospital base de Valdivia. Este accidente fatal se produjo al colisionar violentamente un automóvil con un furgón, en la Ruta 202, en el sector Cayumapu. En este momento se encuentra trabajando todavía personal de la Siat en el lugar, y el fiscal Alex Montesinos, se refirió a la posible causa del accidente. “Aparentemente el vehículo menor habría traspasado como señala el eje central de la calzada por razones que aún se investigan, y habría colisionado de frente con el furgón, producto de esa condición justamente fallecen tres de los cuatro ocupantes al interior de dicho móvil”, indicó. Revisa el video que captó el momento en que se produjo la colisión. Las tres víctimas fatales viajaban en el mismo automóvil. Confirman dos personas fallecidas.",2022-05-18,accidente,0,0,0,0,0,0,0,0,0,0,0,1,NEG,0.9622315764427184,"['accidente', 'colisión', 'colisionar', 'conductor', 'automóvil', 'vehículo', 'fatal', 'accidente fatal', 'accidente de tránsito', 'accidente de tránsito']"
106,47712294.0,chile,diariolaguino,https://www.diariolaguino.cl/noticia/actualidad/2019/01/anuncian-querella-tras-accidente-que-dejo-3-fallecidos-y-treintena-de-heridos-en-los-rios,Anuncian querella tras accidente que dejó 3 fallecidos y treintena de heridos en Los Ríos - Diario Laguino,"El intendente de la Región de Los Ríos, César Asenjo, anunció este mediodía que evalúan una querella contra quienes resulten responsables por grave accidente de tránsito en el kilómetro 785 de la Ruta 5, que terminó con 3 personas fallecidas y una treintena de heridos. Tal como informó Diario de Valdivia esta mañana, la colisión múltiple se produjo pasadas las 8 de la mañana de este sábado 19 de enero e involucró a lo menos a 5 vehículos, entre ellos un camión de alto tonelaje y dos buses interprovinciales, mientras pescadores mantenían bloqueada la ruta en ambas direcciones. El intendente señaló que se está a la espera del resultado de la investigación de este accidente y que se invocará la Ley de Seguridad Interior de Estado por la obstaculización del tramo que une Lanco y San José de la Mariquina. Según indicó la autoridad, producto del corte en la ruta provocada por una cantidad indeterminada de manifestantes, se produjo una gran congestión vehicular en ambos sentidos. Es en este contexto que el bus interprovincial detuvo su marcha y descendieron algunas personas de la máquina, entre ellos el conductor, quienes fueron arrollados por un camión, falleciendo en el lugar 3 personas. “Los manifestantes se dieron cuenta de que existía un accidente con consecuencias fatales obstaculizando inclusive el tráfico de una ambulancia que se dirigía al Hospital Base Valdivia. Nosotros como gobierno vamos a aplicar todo el rigor del estado de Derecho, estamos estudiando una querella contra quienes resulten responsables aplicando la Ley de Seguridad Interior de Estado con causa agravada producto de este fatal accidente”, agregó. El accidente involucró además a otros vehículos que resultaron impactados por alcance, dejando más de 30 personas lesionadas, quienes fueron trasladados hasta distintos centros de salud de la región. En el lugar fallecieron dos vecinos de Lanco y el conductor del bus Pirehueico que residía en Melefquén. [BARRICADAS EN EL SECTOR] Heridos fueron trasladados a los hospitales de Lanco, San José y Valdivia. [ÚLTIMA HORA] Colisión de camión con bus con pasajeros.",2019-01-19,accidente,0,0,0,0,0,0,0,0,0,1,1,1,NEU,0.8760900497436523,"['accidente', 'colisión', 'conductor', 'vehículo', 'heridos', 'fatal', 'accidente de tránsito', 'colisión múltiple', 'accidente de tránsito']"
2275,47747202.0,chile,rioenlinea,https://www.rioenlinea.cl/adulto-mayor-murio-tras-colision-frontal-entre-dos-vehiculos-en-lanco/,Adulto mayor murió tras colisión frontal entre dos vehículos en Lanco,"Un adulto mayor murió luego de una colisión frontal ocurrida entre dos vehículos en una ruta de la comuna de Lanco. El fatal accidente ocurrió cerca de las 20:30 horas de este sábado, luego que una camioneta y un automóvil colisionaran. “Se tomó conocimiento de un accidente de tránsito con resultado de muerte, en donde estaban involucrados dos vehículos quienes habían chocado de forma frontal”, detalló el Fiscal (s) Henry Chaura. Debido a la colisión el conductor de la camioneta, de 69 años de edad, falleció en el CESFAM de Lanco, ante las lesiones provocadas por el accidente. Mientras que, el conductor del vehículo, de 23 años, fue trasladado hasta el Hospital Base de Valdivia, con lesiones de carácter reservado. El Ministerio Público dispuso la concurrencia de personal de la Sección de Investigación de Accidentes de Tránsito (SIAT) de Carabineros, para indagar la causa de la colisión.",2022-10-01,accidente,0,0,0,0,0,0,0,0,0,1,0,1,NEG,0.6709488034248352,"['accidente', 'colisión', 'colisionar', 'conductor', 'automóvil', 'vehículo', 'fatal', 'accidente de tránsito', 'accidente de tránsito']"
777,47392705.0,chile,rioenlinea,https://www.rioenlinea.cl/confirman-muerte-de-conductor-en-choque-con-camion-iban-nueve-personas-en-un-auto/,Confirman muerte de conductor en choque con camión: Iban nueve personas en un auto,"El conductor de un automóvil murió tras chocar su vehículo, en el que se trasladaban cinco menores y cuatro adultos, con un camión en la ruta T-202, sector del cruce La Cruz. El Fiscal de turno dispuso que la SIAT de Carabineros investigue el hecho. A eso de las 15:00 horas en la Ruta T-202 a la altura del kilómetro 2,  sector del cruce La Cruz, específicamente a la entrada de la comuna de San José de la Mariquina, participaron en un accidente de tránsito un vehículo menor, que trasladaba a nueve personas a bordo, y un camión, tal como lo confirmó el Fiscal Jefe de Mariquina, Alejandro Ríos. El Fiscal agregó que tras la colisión, cuyas causas aún se investigan, el conductor del automóvil que trasladaba a cinco menores y cuatro adultos, quedó atrapado, falleciendo más tarde. La víctima fue identificada como Daniel Meléndez Nicolich, de 43 años de edad. Según Carabineros en Los Ríos, el conductor del camión aseguró que al activar los frenos no logró esquivar al automóvil, produciéndose así el fatal choque. Además, desde la institución uniformada comunicaron que aparentemente el vehículo menor se habría incorporado sorpresivamente a la ruta. Para la investigación de los hechos el Fiscal Ríos dispuso la concurrencia de la Sección de Investigación de Accidentes de Tránsito (SIAT) de Carabineros. Además, deberá realizar las labores correspondientes para determinar las causas del deceso el Servicio Médico Legal (SML). Más tarde Fiscalía también confirmó que se mantienen heridas ocho personas, de las cuales dos se encuentran en estado grave siendo trasladadas hasta el Hospital Base de Valdivia.",2020-11-21,accidente,0,0,0,0,0,0,0,0,0,0,1,1,NEG,0.5499103665351868,"['accidente', 'choque', 'colisión', 'conductor', 'automóvil', 'vehículo', 'fatal', 'accidente de tránsito', 'accidente de tránsito']"
1202,47370451.0,chile,rioenlinea,https://www.rioenlinea.cl/dos-conductores-murieron-tras-choque-frontal-en-sector-casa-blanca-en-valdivia/,Dos conductores murieron tras choque frontal en sector Casa Blanca en Valdivia,"Un accidente de tránsito en la ruta 206, sector Casa Blanca en Valdivia, dejó dos personas fallecidas la mañana de este domingo.  Esta mañana, a eso de las 09:00 horas, se registró un accidente de tránsito en la ruta 206, sector Casa Blanca en Valdivia. Del choque frontal entre dos automóviles, de acuerdo a Carabineros, resultaron fallecidos los conductores de ambos vehículos. En tanto, no habría más ocupantes ni otras personas lesionadas a raíz del hecho. Sobre el tránsito vehicular, Carabineros ha informado que este se encuentra suspendido en ambos sentidos. #Valdivia: Tránsito cortado en el Km 30 de la Ruta 206, sector Casa Blanca,  por colisión frontal de dos automóviles que provocó la muerte de ambos conductores.Prefiera vías alternativas. pic.twitter.com/TsV3iRMzWw — Carabineros Región de Los Ríos (@CarabLosRios) August 15, 2021 ",2021-08-15,accidente,0,0,0,0,0,0,0,0,0,0,0,1,NEU,0.7304106950759888,"['accidente', 'choque', 'colisión', 'conductor', 'automóvil', 'vehículo', 'choque frontal', 'accidente de tránsito', 'accidente de tránsito']"
122,47712288.0,chile,diariolaguino,https://www.diariolaguino.cl/noticia/actualidad/2019/01/tres-fallecidos-camion-colisiono-a-bus-y-otros-vehiculos-en-ruta-bloqueada-por-pescadores-artesanales,[TRES FALLECIDOS] Camión colisionó a bus y otros vehículos en ruta bloqueada por pescadores artesanales  - Diario Laguino,"Tres víctimas fatales y varias personas heridas fue el saldo de un accidente de tránsito ocurrido esta mañana en el sector de Ciruelos, ruta que conecta Valdivia con San José de la Mariquina. De acuerdo a la información recabado por Diario San José, el hecho se registró alrededor de las 9, en momentos que una larga fila de vehículos se mantenían detenidos en la calzada, a consecuencia de las barricadas instaladas por pescadores artesanales que protestaban metros más adelante. Los primeros reportes indican que habría tres personas fallecidas, dos hombres y una mujer, mientras varios heridos fueron trasladados a los hospitales de Lanco, San José y Valdivia. Se trató de una colisión por alcance que involucró a un automóvil particular y un microbús de la empresa Pirehueico, los que fueron impactados en su parte posterior por un camión que no detuvo su marcha. Al lugar llegó el jefe de zona de Carabineros y el intendente regional César Asenjo en compañía de encargado de la seguridad regional Claudio Mansilla. EN DESARROLLO En el lugar fallecieron dos vecinos de Lanco y el conductor del bus Pirehueico que residía en Melefquén. Intendente informó que se aplicará la Ley de Seguridad Interior del Estado y que hay 3 detenidos [ÚLTIMA HORA] Colisión de camión con bus con pasajeros.",2019-01-19,accidente,0,0,0,0,0,0,0,0,0,1,1,1,NEG,0.541472315788269,"['accidente', 'colisión', 'conductor', 'automóvil', 'vehículo', 'heridos', 'fatal', 'accidente de tránsito', 'accidente de tránsito']"
107,47715677.0,chile,noticiaslosrios,https://www.noticiaslosrios.cl/2019/01/19/gobierno-regional-invocara-ley-de-seguridad-interior-del-estado-por-accidente-en-ruta-5-sur/,Gobierno Regional invocará Ley de Seguridad Interior del Estado por accidente en ruta 5 Sur que dejó tres fallecidos,"Desde la Intendencia señalaron que el origen del lamentable suceso sería una manifestación que se realizaba en la ruta. Uno de los conductores involucrados en la colisión múltiple fue detenido. El intendente de Los Ríos, César Asenjo, anunció que como Gobierno Regional estudian invocar la Ley de Seguridad Interior del Estado en la querella que presentarán contra quienes resulten responsables por el accidente en la ruta 5 Sur, a la altura del sector Ciruelos en la comuna de San José de la Mariquina, que dejó tres fallecidos y más de 30 lesionados. La máxima autoridad regional aseguró que la colisión múltiple –en la cual seis vehículos estuvieron involucrados– tuvo sus orígenes en las manifestaciones que provocaron el corte de la ruta en el lugar. «(…) de norte a sur, hay una detención de algunos vehículos por los cortes, el humo y las llamaradas que existían en la ruta. Algunas personas se bajaron de un bus y un camión las impactó, falleciendo tres de ellas y quedando más de 30 heridos (dos de ellos en estado grave), quienes fueron derivados a los centros asistenciales de la red de salud pública que actuó en forma coordinada». Asenjo agregó que los manifestantes se habrían percatado del accidente, obstaculizando el tránsito de una ambulancia que llegó al lugar momentos después de la colisión, información que deberá ser confirmada por la investigación a cargo de la Sección de Investigación de Accidentes de Tránsito (SIAT) de Carabineros de Chile. En cuanto a los fallecidos, y según lo consignado por el portal LancoalDia.cl, se trataría de Lucinda Santibañez, Rigoberto Muñoz y Ricardo Carrasco. Desde el Ministerio Público, el fiscal Alejandro Ríos manifestó que el conductor de uno de los camiones involucrados en el accidente de tránsito fue detenido al no estar atento a las condiciones del tránsito, impactando por alcance a otros vehículos, provocando las múltiples colisiones que dejaron a tres personas fallecidas. El detenido será formalizado en el Juzgado de Garantía de Mariquina por los delitos de cuasidelito de homicidio y lesiones graves en accidente de tránsito.",2019-01-19,accidente,0,0,0,0,0,0,0,0,0,0,1,0,NEU,0.991093099117279,"['accidente', 'colisión', 'conductor', 'vehículo', 'heridos', 'lesionados', 'accidente de tránsito', 'colisión múltiple', 'accidente de tránsito']"
1244,47753045.0,chile,rioenlinea,https://www.rioenlinea.cl/joven-murio-en-accidente-de-transito-que-protagonizo-conductor-ebrio-en-los-lagos/,Joven murió en accidente de tránsito que protagonizó conductor ebrio en Los Lagos,"Un joven falleció luego de un accidente de tránsito, protagonizado por un conductor en estado de ebriedad, en la comuna de Los Lagos. De acuerdo a información proporcionada por Carabineros, el accidente ocurrió a eso de las 19:30 horas de la tarde de este viernes, en calle Castro, esquina Maipo, de la comuna de Los Lagos, donde tres vehículos menores colisionaron. Uno de los automóviles involucrados en el accidente, terminó volcando, falleciendo un acompañante, identificado con las iniciales M. A. S. C. de 19 años de edad. El conductor del mencionado vehículo, se encontraría en estado de ebriedad, según informó Carabineros. La Fiscalía instruyó diligencias a personal de la Sección de Investigación de Accidentes de Tránsito (SIAT) de Carabineros, para aclarar las circunstancias de la fatal colisión.",2021-09-17,accidente,0,1,0,0,0,0,0,0,0,0,0,0,NEG,0.9727424383163452,"['accidente', 'colisión', 'colisionar', 'conductor', 'automóvil', 'vehículo', 'fatal', 'accidente de tránsito', 'accidente de tránsito']"
